Date,Price
2016/09/20,157.80,
2016/09/19,158.86,
2016/09/16,159.44,
2016/09/15,159.95,
2016/09/14,159.73,
2016/09/13,160.86,
2016/09/12,160.92,
2016/09/09,162.59,
2016/09/08,160.69,
2016/09/07,160.59,
2016/09/06,160.92,
2016/09/05,160.86,
2016/09/02,160.52,
2016/09/01,160.97,
2016/08/31,160.32,
2016/08/30,160.09,
2016/08/29,159.42,
2016/08/26,158.10,
2016/08/25,158.19,
2016/08/24,156.31,
2016/08/23,155.75,
2016/08/22,155.30,
2016/08/19,155.12,
2016/08/18,154.92,
2016/08/17,154.62,
2016/08/16,154.45,
2016/08/15,154.53,
2016/08/12,154.66,
2016/08/11,153.76,
2016/08/10,154.13,
2016/08/08,153.89,
2016/08/05,154.18,
2016/08/04,154.96,
2016/08/02,155.46,
2016/08/01,155.62,
2016/07/29,155.61,
2016/07/28,156.35,
2016/07/27,156.57,
2016/07/26,156.09,
2016/07/25,155.45,
2016/07/22,154.99,
2016/07/21,154.89,
2016/07/20,154.70,
2016/07/19,154.78,
2016/07/18,154.52,
2016/07/15,154.19,
2016/07/14,153.82,
2016/07/13,153.30,
2016/07/12,152.65,
2016/07/11,152.16,
2016/07/08,151.02,
2016/07/07,150.99,
2016/07/06,151.23,
2016/07/05,152.53,
2016/07/04,153.62,
2016/07/01,153.07,
2016/06/30,154.50,
2016/06/29,153.09,
2016/06/28,153.06,
2016/06/27,152.12,
2016/06/24,153.29,
2016/06/23,156.19,
2016/06/22,155.89,
2016/06/21,155.05,
2016/06/20,155.46,
2016/06/17,154.74,
2016/06/16,154.23,
2016/06/15,154.23,
2016/06/14,154.18,
2016/06/13,155.46,
2016/06/10,156.28,
2016/06/09,156.12,
2016/06/08,156.88,
2016/06/07,156.79,
2016/06/06,157.20,
2016/06/03,157.91,
2016/06/02,157.78,
2016/06/01,157.16,
2016/05/31,157.40,
2016/05/30,157.37,
2016/05/27,156.90,
2016/05/26,157.75,
2016/05/25,156.64,
2016/05/24,156.08,
2016/05/23,155.17,
2016/05/20,156.01,
2016/05/19,155.22,
2016/05/18,155.11,
2016/05/17,154.34,
2016/05/16,153.71,
2016/05/13,152.43,
2016/05/12,153.35,
2016/05/11,153.48,
2016/05/10,152.77,
2016/05/09,152.94,
2016/05/06,152.50,
2016/05/05,152.53,
2016/05/04,151.80,
2016/05/03,152.09,
2016/04/29,153.21,
2016/04/28,153.50,
2016/04/26,153.40,
2016/04/25,153.02,
2016/04/22,152.61,
2016/04/21,153.38,
2016/04/20,152.20,
2016/04/19,151.64,
2016/04/18,151.42,
2016/04/15,151.12,
2016/04/14,151.57,
2016/04/13,151.38,
2016/04/12,149.83,
2016/04/11,149.69,
2016/04/08,149.41,
2016/04/07,148.74,
2016/04/06,148.52,
2016/04/05,147.97,
2016/04/04,149.07,
2016/04/01,148.68,
2016/03/31,150.10,
2016/03/30,150.31,
2016/03/29,148.89,
2016/03/24,149.17,
2016/03/23,150.31,
2016/03/22,150.38,
2016/03/18,151.17,
2016/03/17,151.16,
2016/03/16,149.02,
2016/03/15,148.33,
2016/03/14,147.84,
2016/03/11,146.15,
2016/03/10,147.47,
2016/03/09,148.01,
2016/03/08,149.39,
2016/03/07,149.45,
2016/03/04,148.03,
2016/03/03,146.05,
2016/03/02,144.52,
2016/03/01,143.46,
2016/02/29,142.24,
2016/02/26,141.87,
2016/02/25,141.17,
2016/02/24,140.66,
2016/02/23,141.11,
2016/02/22,141.66,
2016/02/19,142.14,
2016/02/18,142.98,
2016/02/17,142.02,
2016/02/16,141.09,
2016/02/15,141.16,
2016/02/12,140.42,
2016/02/11,139.94,
2016/02/10,141.08,
2016/02/09,141.51,
2016/02/08,140.97,
2016/02/05,141.33,
2016/02/04,140.68,
2016/02/03,138.69,
2016/02/02,139.43,
2016/02/01,139.20,
2016/01/29,139.94,
2016/01/28,138.12,
2016/01/27,137.15,
2016/01/26,136.34,
2016/01/25,135.93,
2016/01/22,135.64,
2016/01/21,134.57,
2016/01/20,135.46,
2016/01/19,136.77,
2016/01/18,135.87,
2016/01/15,136.27,
2016/01/14,137.05,
2016/01/13,138.30,
2016/01/12,138.15,
2016/01/11,137.13,
2016/01/08,137.73,
2016/01/07,137.79,
2016/01/06,139.16,
2016/01/05,139.68,
2016/01/04,140.17,
2015/12/31,142.67,
2015/12/30,142.56,
2015/12/29,142.47,
2015/12/28,142.38,
2015/12/24,142.28,
2015/12/23,141.49,
2015/12/22,139.69,
2015/12/21,139.01,
2015/12/18,138.87,
2015/12/17,139.19,
2015/12/15,138.49,
2015/12/14,140.03,
2015/12/11,137.93,
2015/12/10,137.69,
2015/12/09,140.29,
2015/12/08,140.39,
2015/12/07,141.12,
2015/12/04,140.98,
2015/12/03,141.45,
2015/12/02,142.41,
2015/12/01,142.51,
2015/11/30,142.78,
2015/11/27,143.20,
2015/11/26,143.27,
2015/11/25,142.15,
